Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:28.003994+0800 0x168      Default     0x0                  0      0    kernel: (RTCMemoryFixup) <compose failure [UUID]>
2021-02-08 19:26:28.021643+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000018
2021-02-08 19:26:28.158515+0800 0x19c      Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMRM-S: _saveAll: pushing policy -> daemon (gen=3 len=41).
2021-02-08 19:26:28.561460+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000010
2021-02-08 19:26:29.600943+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000000
2021-02-08 19:26:29.601006+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x15
2021-02-08 19:26:29.601012+0800 0x168      Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]PM did go to state : 2
2021-02-08 19:26:29.601376+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x16
2021-02-08 19:26:29.601381+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[0] to __kernel__
2021-02-08 19:26:29.601383+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[1] to __kernel__
2021-02-08 19:26:29.601385+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2021-02-08 19:26:29.601386+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap 9 -> 0 (flags 2)
2021-02-08 19:26:29.601391+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[2] to com.apple.driver.AppleCredentialManager
2021-02-08 19:26:29.601393+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[3] to com.apple.driver.AppleACPIPlatform
2021-02-08 19:26:29.601395+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[4] to com.apple.iokit.IOPCIFamily
2021-02-08 19:26:29.601396+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[5] to com.apple.driver.AppleSMC
2021-02-08 19:26:29.601398+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[6] to com.apple.iokit.IOHIDFamily
2021-02-08 19:26:29.601400+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[7] to com.apple.iokit.IONetworkingFamily
2021-02-08 19:26:29.601402+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[8] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:29.601404+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[9] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:29.601405+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[10] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:29.601407+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[11] to com.apple.driver.IOPlatformPluginLegacy
2021-02-08 19:26:29.601408+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[12] to com.apple.iokit.IOGraphicsFamily
2021-02-08 19:26:29.601410+0800 0x74       Default     0x0                  0      0    kernel: (IOGraphicsFamily) GTrace synchronization point 1a6
2021-02-08 19:26:29.601413+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[13] to com.apple.driver.AppleGraphicsDevicePolicy
2021-02-08 19:26:29.601435+0800 0x74       Default     0x0                  0      0    kernel: PMRD: === FINISH (ON_STATE->SLEEP_STATE, 9->0, 0x40c2) gen 2, msg 5, tag 300067
2021-02-08 19:26:29.601436+0800 0x74       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->SLEEP_STATE
2021-02-08 19:26:29.601440+0800 0x74       Default     0x0                  0      0    kernel: Time 0x60211fe5 Message
2021-02-08 19:26:29.601441+0800 0x74       Default     0x0                  0      0    kernel: PMRD: System Sleep
2021-02-08 19:26:29.601443+0800 0x74       Default     0x0                  0      0    kernel: PMRD: evaluateSystemSleepPolicyFinal
2021-02-08 19:26:29.601446+0800 0x74       Default     0x0                  0      0    kernel: IOCPUSleepKernel enter
2021-02-08 19:26:29.601447+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x17
2021-02-08 19:26:29.601448+0800 0x74       Default     0x0                  0      0    kernel: IOPlatformSleepAction -> AppleSMC
2021-02-08 19:26:29.601471+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x18
2021-02-08 19:26:29.602372+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x19
2021-02-08 19:26:29.602376+0800 0x74       Default     0x0                  0      0    kernel: (AppleACPIPlatform) ACPI SLEEP
